#### Data from Potential source areas for atmospheric lead reaching Ny-Ålesund from 2010 to 2018
#### Andrea Bazzano1*, Stefano Bertinetti1, Francisco Ardini1, David Cappelletti2 and Marco Grotti1
#### 1 Department of Chemistry and Industrial Chemistry, University of Genoa, via Dodecaneso 31, 16146, Genoa, Italy
#### 2 Department of Chemistry, Biology and Biotechnologies, University of Perugia, Via Elce Di Sotto 8, 06123, Perugia, Italy
#### * corresponding author: andrea.bazzano@edu.unige.it, orcid id: https://orcid.org/0000-0002-9353-3919
#### date reports the sampling data in YYYY-MM-DD format and volume the sampling volume in m3.
#### pb_sign is = for Pb concentrarion data above limit of quantification (LoQ) and < for data below LoQ.
#### pb_val is numeric and it is the measured Pb concentration or LoQ in pg/m3.
#### pb is text and it is the measured Pb concentration or <LoQ in pg/m3.
#### al_ef is the enrichment factor (EF) EF(Pb/Al)c in comparison to the upper continental crust (UCC, Wedepohl 1995).
#### pb20x20y is the value measured for 20xPb / 20yPb isotope ratio.
#### u20x20y is the 95-confidence level uncertainty for the measured 20xPb / 20yPb isotope ratio value.
#### Missing values are reported as NA.
#### Wedepohl 1995: Wedepohl, K.H., 1995. The composition of the continental crust. Geochim. Cosmochim. Acta 58A, 959–960. https://doi.org/10.1180/minmag.1994.58A.2.234
#### (NN-YY)	(YYYY-MM-DD)	m3	-	-	pg/m3	-	-	-	-	-
id	date	volume	pb_sign	pb_val	pb	al_ef	pb208206	u208206	pb207206	u207206
06-14	2014-04-20	772.74	=	307.3	307.3	135	2.107	0.003	0.865	0.002
07-14	2014-04-24	783.87	=	109.8	109.8	135	2.102	0.007	0.863	0.002
08-14	2014-04-28	799.59	=	81.3	81.3	53	2.102	0.005	0.861	0.002
09-14	2014-05-02	861.65	=	62.9	62.9	195	2.104	0.004	0.864	0.003
10-14	2014-05-07	821.06	=	51.6	51.6	29	2.1	0.006	0.861	0.003
11-14	2014-05-11	788.8	=	41	41	56	2.115	0.005	0.87	0.002
12-14	2014-05-15	838.49	=	68.7	68.7	44	2.106	0.004	0.863	0.001
13-14	2014-05-19	801.65	=	36.6	36.6	7	2.103	0.008	0.868	0.003
14-14	2014-05-23	801.73	=	65.3	65.3	7	2.1	0.005	0.854	0.003
15-14	2014-05-27	802.98	=	30.3	30.3	35	2.098	0.012	0.857	0.006
16-14	2014-05-31	792.31	=	12.6	12.6	62	2.11	0.009	0.864	0.003
17-14	2014-06-04	814.58	=	75.1	75.1	156	2.107	0.003	0.867	0.002
18-14	2014-06-08	799.12	=	17	17	47	2.091	0.009	0.864	0.004
19-14	2014-06-12	810.67	=	15.3	15.3	NA	NA	NA	NA	NA
20-14	2014-06-16	799.85	=	11.1	11.1	NA	2.114	0.006	0.867	0.002
21-14	2014-06-20	805.91	=	34.9	34.9	10	2.101	0.009	0.871	0.004
22-14	2014-06-24	804.64	<	4.5	<4.5	NA	NA	NA	NA	NA
23-14	2014-06-28	861.69	=	26.6	26.6	3	2.049	0.008	0.837	0.003
24-14	2014-07-03	814.61	=	11	11	14	2.092	0.01	0.855	0.005
25-14	2014-07-07	792.08	=	24.5	24.5	16	2.072	0.01	0.852	0.006
26-14	2014-07-12	454.1	=	66.9	66.9	476	2.072	0.008	0.85	0.004
27-14	2014-07-17	811.22	=	43.2	43.2	415	2.11	0.005	0.868	0.003
28-14	2014-07-21	818.24	=	18.3	18.3	18	2.099	0.007	0.863	0.004
29-14	2014-07-25	810.25	<	4.5	<4.5	NA	NA	NA	NA	NA
30-14	2014-07-29	813.75	<	4.5	<4.5	NA	NA	NA	NA	NA
31-14	2014-08-02	794.5	=	8.7	8.7	25	2.095	0.018	0.86	0.007
32-14	2014-08-06	816.95	=	14.1	14.1	19	2.075	0.014	0.848	0.005
33-14	2014-08-10	811.79	=	13.6	13.6	13	2.081	0.01	0.854	0.005
34-14	2014-08-18	801.84	<	4.5	<4.5	NA	NA	NA	NA	NA
35-14	2014-08-22	814.68	=	12.5	12.5	48	2.081	0.009	0.856	0.005
36-14	2014-08-26	707.32	=	23.5	23.5	24	2.097	0.01	0.86	0.005
37-14	2014-08-30	817.99	=	61.5	61.5	134	2.095	0.005	0.86	0.002
38-14	2014-09-03	830.1	<	4.5	<4.5	NA	NA	NA	NA	NA
39-14	2014-09-07	772.85	<	4.5	<4.5	NA	NA	NA	NA	NA
01-15	2015-02-28	790.33	=	82	82	59	2.1	0.006	0.863	0.004
02-15	2015-03-04	781.96	=	11.8	11.8	176	2.076	0.014	0.855	0.01
03-15	2015-03-08	774.24	=	48.9	48.9	349	2.1	0.007	0.867	0.003
04-15	2015-03-12	793.24	=	358.1	358.1	355	2.111	0.004	0.864	0.002
05-15	2015-03-16	798.81	=	185.3	185.3	233	2.107	0.004	0.862	0.002
06-15	2015-03-20	804.22	=	125	125	132	2.087	0.004	0.862	0.002
07-15	2015-03-24	799.4	=	121.4	121.4	138	2.087	0.003	0.861	0.002
08-15	2015-03-28	792.52	=	73.8	73.8	116	2.095	0.005	0.865	0.002
09-15	2015-04-01	813.64	=	141.7	141.7	52	2.1	0.004	0.857	0.002
10-15	2015-04-05	802.53	=	520.5	520.5	144	2.113	0.006	0.867	0.002
11-15	2015-04-09	809.16	=	514.8	514.8	512	2.101	0.005	0.865	0.003
12-15	2015-04-13	829.4	=	505.3	505.3	413	2.103	0.005	0.862	0.003
13-15	2015-04-17	818.13	=	20.1	20.1	82	2.101	0.011	0.861	0.005
14-15	2015-04-21	814.81	=	16.9	16.9	49	2.095	0.01	0.862	0.005
15-15	2015-04-25	820.35	=	20.9	20.9	45	2.093	0.009	0.862	0.006
16-15	2015-04-29	813.8	=	29.8	29.8	33	2.086	0.009	0.857	0.004
17-15	2015-05-03	823.41	=	17.5	17.5	38	2.087	0.015	0.857	0.006
18-15	2015-05-07	814.88	=	17.6	17.6	26	2.088	0.01	0.856	0.005
19-15	2015-05-11	809.78	=	13.5	13.5	51	2.086	0.01	0.858	0.006
20-15	2015-05-15	809.52	=	5.4	5.4	24	2.12	0.014	0.867	0.01
21-15	2015-05-19	807.75	=	26.1	26.1	42	2.085	0.006	0.855	0.004
22-15	2015-05-23	814.18	=	29.3	29.3	46	2.072	0.006	0.853	0.002
13-15	2015-05-27	816.16	=	29.8	29.8	37	2.091	0.007	0.858	0.004
24-15	2015-05-31	807.14	=	18.8	18.8	17	2.059	0.013	0.845	0.01
25-15	2015-06-04	808.27	=	4.5	4.5	11	2.088	0.011	0.854	0.006
26-15	2015-06-08	804.09	=	5.6	5.6	10	2.072	0.012	0.849	0.008
27-15	2015-06-12	809.83	=	13	13	4	2.069	0.009	0.849	0.005
28-15	2015-06-16	809.55	=	12.4	12.4	12	2.095	0.014	0.861	0.009
29-15	2015-06-20	805.57	=	32.3	32.3	72	2.065	0.009	0.842	0.005
30-15	2015-06-24	812.34	=	7.4	7.4	19	2.053	0.009	0.844	0.006
31-15	2015-06-28	809.95	=	6.1	6.1	21	2.073	0.017	0.855	0.007
32-15	2015-07-02	813.26	=	15.7	15.7	103	2.073	0.009	0.851	0.004
33-15	2015-07-06	807.97	=	6.2	6.2	9	2.062	0.008	0.841	0.005
34-15	2015-07-10	810.35	=	30.5	30.5	11	2.081	0.009	0.853	0.005
35-15	2015-07-14	811.86	=	6.2	6.2	10	2.079	0.01	0.86	0.006
36-15	2015-07-18	807.64	=	3.5	3.5	9	2.081	0.017	0.861	0.009
37-15	2015-07-22	812.89	=	3.5	3.5	14	2.065	0.015	0.848	0.01
38-15	2015-07-26	809.79	=	27.4	27.4	211	2.082	0.017	0.85	0.009
39-15	2015-07-30	811.55	=	12.7	12.7	20	2.095	0.013	0.856	0.005
40-15	2015-08-03	803	=	13.2	13.2	16	2.054	0.009	0.846	0.005
41-15	2015-08-07	810.61	=	5.1	5.1	22	2.064	0.016	0.85	0.008
42-15	2015-08-11	792.37	=	8.6	8.6	15	2.073	0.02	0.843	0.012
43-15	2015-08-15	809.02	=	8.5	8.5	31	2.113	0.018	0.866	0.009
44-15	2015-08-19	810.54	=	2.9	2.9	20	2.08	0.018	0.85	0.01
45-15	2015-08-23	818.81	=	4.3	4.3	38	2.109	0.026	0.864	0.017
46-15	2015-08-27	819.92	=	7.1	7.1	26	2.079	0.015	0.858	0.007
47-15	2015-08-31	809.93	=	2.8	2.8	9	2.073	0.021	0.844	0.012
48-15	2015-09-04	810.22	=	5.1	5.1	15	2.072	0.017	0.845	0.008
49-15	2015-09-08	604.14	=	10.8	10.8	8	2.072	0.014	0.844	0.009
50-15	2015-09-12	812.5	=	19.5	19.5	32	2.086	0.009	0.862	0.006
51-15	2015-09-16	809.78	=	128.3	128.3	36	2.089	0.005	0.848	0.004
52-15	2015-09-20	578.63	=	9.3	9.3	3	2.077	0.014	0.851	0.008
53-15	2015-09-24	807.74	=	91.6	91.6	883	2.099	0.008	0.864	0.004
54-15	2015-09-28	804.16	=	7.5	7.5	12	2.089	0.018	0.856	0.011
55-15	2015-10-02	809.98	=	9.2	9.2	8	2.094	0.01	0.852	0.004
56-15	2015-10-06	741.24	=	14.4	14.4	61	2.096	0.014	0.864	0.01
57-15	2015-10-10	782.29	=	27	27	21	2.082	0.008	0.848	0.004
58-15	2015-10-14	779.42	=	6.6	6.6	22	2.075	0.018	0.852	0.012
01-16	2016-03-04	774.77	=	37.5	37.5	NA	2.07	0.005	0.848	0.001
02-16	2016-03-08	770.62	=	15.7	15.7	135	2.103	0.005	0.865	0.003
03-16	2016-03-12	777.31	=	1.5	1.5	10	2.103	0.008	0.87	0.004
04-16	2016-03-16	784.08	=	35.3	35.3	45	2.081	0.002	0.855	0.001
05-16	2016-03-20	798.53	=	263.5	263.5	120	2.1	0.002	0.862	0.001
06-16	2016-03-24	782.44	=	510.1	510.1	282	2.092	0.002	0.856	0.001
07-16	2016-03-28	796.63	=	80.6	80.6	93	2.099	0.003	0.862	0.002
08-16	2016-04-03	861.65	=	57.7	57.7	26	2.094	0.003	0.859	0.001
09-16	2016-04-08	708.22	=	73.7	73.7	130	2.099	0.003	0.862	0.003
10-16	2016-04-12	709.85	=	97.6	97.6	46	2.099	0.004	0.861	0.002
11-16	2016-04-16	731.93	=	85.2	85.2	66	2.1	0.003	0.862	0.001
12-16	2016-04-20	747.67	=	52.2	52.2	78	2.095	0.001	0.858	0.001
13-16	2016-04-24	728.43	=	42.8	42.8	41	2.099	0.004	0.861	0.002
14-16	2016-04-28	820.83	=	49.3	49.3	50	2.1	0.006	0.862	0.001
15-16	2016-05-02	824.39	=	12.2	12.2	51	2.098	0.004	0.863	0.004
16-16	2016-05-06	806.5	<	1	<1.0	NA	NA	NA	NA	NA
17-16	2016-05-10	817.54	=	16.1	16.1	36	2.076	0.004	0.853	0.002
18-16	2016-05-14	757.41	=	7.8	7.8	68	2.109	0.004	0.87	0.002
19-16	2016-05-18	301.55	=	29.6	29.6	35	2.111	0.006	0.865	0.005
04-17	2017-03-01	773.89	=	135.9	135.9	304	2.101	0.002	0.871	0.001
05-17	2017-03-05	861.61	=	77.1	77.1	113	2.108	0.004	0.867	0.002
06-17	2017-03-10	775.83	=	170.5	170.5	120	2.1	0.002	0.865	0.001
07-17	2017-03-22	790.84	=	298.7	298.7	300	2.103	0.003	0.865	0.001
08-17	2017-03-26	762.34	=	386.8	386.8	160	2.105	0.003	0.865	0.002
09-17	2017-03-30	809.45	=	520.9	520.9	229	2.102	0.002	0.865	0.002
10-17	2017-04-03	802.64	=	241.1	241.1	178	2.106	0.001	0.868	0.001
11-17	2017-04-07	793.91	=	124.9	124.9	130	2.096	0.002	0.864	0.002
12-17	2017-04-11	813.72	=	577.3	577.3	455	NA	NA	NA	NA
13-17	2017-04-15	788.77	=	252.5	252.5	109	2.102	0.002	0.864	0.002
14-17	2017-04-19	776.94	=	158.7	158.7	69	2.085	0.005	0.859	0.003
15-17	2017-04-23	774.28	=	67.3	67.3	46	2.101	0.003	0.861	0.002
16-17	2017-04-27	785.51	=	39.5	39.5	58	2.099	0.004	0.856	0.001
17-17	2017-05-01	757.91	=	117.8	117.8	147	2.096	0.003	0.867	0.002
18-17	2017-05-05	782.42	=	72.5	72.5	50	2.1	0.002	0.861	0.003
19-17	2017-05-09	794.33	=	163.5	163.5	65	2.11	0.002	0.873	0.002
20-17	2017-05-13	794.05	=	80.3	80.3	48	2.103	0.003	0.862	0.004
21-17	2017-05-17	780.74	=	63.9	63.9	36	2.088	0.006	0.857	0.003
22-17	2017-05-21	791.01	=	18	18	27	2.101	0.004	0.863	0.004
23-17	2017-05-25	784.84	=	26.9	26.9	21	2.096	0.004	0.86	0.002
24-17	2017-05-29	796.33	=	46.1	46.1	13	2.097	0.003	0.854	0.002
25-17	2017-06-02	781.23	=	45.2	45.2	20	2.099	0.002	0.854	0.003
26-17	2017-06-06	796.67	=	153.3	153.3	73	2.108	0.005	0.874	0.002
27-17	2017-06-10	792.23	=	24	24	61	NA	NA	NA	NA
28-17	2017-06-14	778.48	=	9.4	9.4	33	2.099	0.004	0.861	0.003
29-17	2017-06-18	794.71	=	9.7	9.7	21	2.117	0.007	0.863	0.005
30-17	2017-06-22	782.42	=	11.2	11.2	22	2.107	0.006	0.859	0.002
31-17	2017-06-28	790.19	=	39.8	39.8	88	2.1	0.002	0.865	0.002
32-17	2017-06-30	796.33	=	2.4	2.4	5	2.104	0.012	0.859	0.004
33-17	2017-07-04	811.22	<	1	<1.0	NA	NA	NA	NA	NA
34-17	2017-07-08	796.61	=	1.1	1.1	10	2.107	0.007	0.859	0.011
35-17	2017-07-12	787.93	=	17.2	17.2	20	NA	NA	NA	NA
36-17	2017-07-16	801.73	=	11.8	11.8	13	2.079	0.006	0.841	0.003
37-17	2017-07-20	806.11	=	7.4	7.4	16	NA	NA	NA	NA
38-17	2017-07-24	796.41	=	3.9	3.9	5	NA	NA	NA	NA
39-17	2017-07-28	794.16	=	10.7	10.7	3	NA	NA	NA	NA
40-17	2017-08-01	792.14	=	5.8	5.8	4	2.092	0.004	0.86	0.004
41-17	2017-08-05	800.6	=	2.7	2.7	9	2.114	0.019	0.862	0.005
42-17	2017-08-09	815.77	=	5.7	5.7	6	2.09	0.003	0.859	0.002
43-17	2017-08-13	772.28	=	2.8	2.8	3	NA	NA	NA	NA
44-17	2017-08-17	789.26	<	1	<1.0	NA	NA	NA	NA	NA
45-17	2017-08-21	794.37	=	1.3	1.3	4	2.069	0.012	0.857	0.004
46-17	2017-08-25	801.04	=	4.7	4.7	5	2.071	0.006	0.854	0.004
47-17	2017-08-29	795.51	=	5.1	5.1	5	NA	NA	NA	NA
48-17	2017-09-02	795.15	=	18.8	18.8	32	2.099	0.006	0.864	0.004
49-17	2017-09-06	776.42	=	138.7	138.7	80	NA	NA	NA	NA
50-17	2017-09-10	791.37	=	8.2	8.2	6	2.103	0.014	0.853	0.006
51-17	2017-09-14	789.42	=	17.2	17.2	47	2.077	0.006	0.849	0.002
52-17	2017-09-18	803.62	=	7.9	7.9	6	2.061	0.006	0.849	0.005
53-17	2017-09-22	891.61	=	11.8	11.8	115	NA	NA	NA	NA
01-18	2018-02-23	817.62	=	8.6	8.6	30	2.113	0.008	0.865	0.004
02-18	2018-02-28	773.09	=	36.4	36.4	21	2.095	0.007	0.856	0.002
03-18	2018-03-04	774.37	=	30.8	30.8	23	2.104	0.005	0.858	0.001
04-18	2018-03-08	783.71	=	42.8	42.8	47	2.094	0.004	0.854	0.003
05-18	2018-03-12	775.04	=	41.7	41.7	24	2.097	0.005	0.863	0.001
06-18	2018-03-16	772.87	=	42.2	42.2	27	2.101	0.003	0.854	0.003
07-18	2018-03-20	772.25	=	166.6	166.6	41	2.098	0.003	0.861	0.001
